customer num,txn_date,txn_ref_no,Counterparties,txn_country,txn_currency,txn currency_amount,txn_amount_in_hkd,cdi_code,Txn Type
4444444444,2026-04-08 00:00:00,22,5555555562,HKG,HKD,9858,9858,C,TRANSFER_P2P
5555555563,2026-04-08 00:00:00,23,4444444444,HKG,HKD,9876,9876,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,24,5555555563,HKG,HKD,9876,9876,C,TRANSFER_P2P
5555555564,2026-04-08 00:00:00,25,4444444444,HKG,HKD,9928,9928,D,TRANSFER_P2P
4444444444,2026-04-08 00:00:00,26,5555555564,HKG,HKD,9928,9928,C,TRANSFER_P2P
7777777777,2026-04-08 04:00:00,27,6666666666,HKG,HKD,100000,100000,D,TRANSFER_P2P
6666666666,2026-04-08 04:00:00,28,7777777777,HKG,HKD,100000,100000,C,TRANSFER_P2P
6666666666,2026-04-08 04:01:00,29,8888888888,HKG,HKD,99900,99900,D,TRANSFER_P2P
8888888888,2026-04-08 04:01:00,30,6666666666,HKG,HKD,99900,99900,C,TRANSFER_P2P
1000000000,2026-04-08 00:00:00,31,9000000000,HKG,HKD,1210,1210,D,TRANSFER_P2P
9000000000,2026-04-08 00:00:00,32,1000000000,HKG,HKD,1210,1210,C,TRANSFER_P2P
1000000001,2026-04-08 00:00:00,33,9000000001,HKG,HKD,796,796,D,TRANSFER_P2P
9000000001,2026-04-08 00:00:00,34,1000000001,HKG,HKD,796,796,C,TRANSFER_P2P
1000000002,2026-04-08 00:00:00,35,9000000002,HKG,HKD,1426,1426,D,TRANSFER_P2P
9000000002,2026-04-08 00:00:00,36,1000000002,HKG,HKD,1426,1426,C,TRANSFER_P2P
1000000003,2026-04-08 00:00:00,37,9000000003,HKG,HKD,232,232,D,TRANSFER_P2P
9000000003,2026-04-08 00:00:00,38,1000000003,HKG,HKD,232,232,C,TRANSFER_P2P
1000000004,2026-04-08 00:00:00,39,9000000004,HKG,HKD,1651,1651,D,TRANSFER_P2P
9000000004,2026-04-08 00:00:00,40,1000000004,HKG,HKD,1651,1651,C,TRANSFER_P2P
1000000005,2026-04-08 00:00:00,41,9000000005,HKG,HKD,1501,1501,D,TRANSFER_P2P
9000000005,2026-04-08 00:00:00,42,1000000005,HKG,HKD,1501,1501,C,TRANSFER_P2P
1000000006,2026-04-08 00:00:00,43,9000000006,HKG,HKD,1750,1750,D,TRANSFER_P2P
9000000006,2026-04-08 00:00:00,44,1000000006,HKG,HKD,1750,1750,C,TRANSFER_P2P
1000000007,2026-04-08 00:00:00,45,9000000007,HKG,HKD,232,232,D,TRANSFER_P2P
9000000007,2026-04-08 00:00:00,46,1000000007,HKG,HKD,232,232,C,TRANSFER_P2P
1000000008,2026-04-08 00:00:00,47,9000000008,HKG,HKD,49,49,D,TRANSFER_P2P
9000000008,2026-04-08 00:00:00,48,1000000008,HKG,HKD,49,49,C,TRANSFER_P2P
1000000009,2026-04-08 00:00:00,49,9000000009,HKG,HKD,1523,1523,D,TRANSFER_P2P
9000000009,2026-04-08 00:00:00,50,1000000009,HKG,HKD,1523,1523,C,TRANSFER_P2P
1000000010,2026-04-08 00:00:00,51,9000000010,HKG,HKD,16,16,D,TRANSFER_P2P
9000000010,2026-04-08 00:00:00,52,1000000010,HKG,HKD,16,16,C,TRANSFER_P2P
1000000011,2026-04-08 00:00:00,53,9000000011,HKG,HKD,649,649,D,TRANSFER_P2P
9000000011,2026-04-08 00:00:00,54,1000000011,HKG,HKD,649,649,C,TRANSFER_P2P
1000000012,2026-04-08 00:00:00,55,9000000012,HKG,HKD,1007,1007,D,TRANSFER_P2P
9000000012,2026-04-08 00:00:00,56,1000000012,HKG,HKD,1007,1007,C,TRANSFER_P2P
1000000013,2026-04-08 00:00:00,57,9000000013,HKG,HKD,921,921,D,TRANSFER_P2P
9000000013,2026-04-08 00:00:00,58,1000000013,HKG,HKD,921,921,C,TRANSFER_P2P
1000000014,2026-04-08 00:00:00,59,9000000014,HKG,HKD,1960,1960,D,TRANSFER_P2P
9000000014,2026-04-08 00:00:00,60,1000000014,HKG,HKD,1960,1960,C,TRANSFER_P2P
1000000015,2026-04-08 00:00:00,61,9000000015,HKG,HKD,928,928,D,TRANSFER_P2P
9000000015,2026-04-08 00:00:00,62,1000000015,HKG,HKD,928,928,C,TRANSFER_P2P
1000000016,2026-04-08 00:00:00,63,9000000016,HKG,HKD,16,16,D,TRANSFER_P2P
9000000016,2026-04-08 00:00:00,64,1000000016,HKG,HKD,16,16,C,TRANSFER_P2P
1000000017,2026-04-08 00:00:00,65,9000000017,HKG,HKD,910,910,D,TRANSFER_P2P
9000000017,2026-04-08 00:00:00,66,1000000017,HKG,HKD,910,910,C,TRANSFER_P2P
1000000018,2026-04-08 00:00:00,67,9000000018,HKG,HKD,501,501,D,TRANSFER_P2P
9000000018,2026-04-08 00:00:00,68,1000000018,HKG,HKD,501,501,C,TRANSFER_P2P
1000000019,2026-04-08 00:00:00,69,9000000019,HKG,HKD,1309,1309,D,TRANSFER_P2P
9000000019,2026-04-08 00:00:00,70,1000000019,HKG,HKD,1309,1309,C,TRANSFER_P2P
1000000020,2026-04-08 00:00:00,71,9000000020,HKG,HKD,533,533,D,TRANSFER_P2P
9000000020,2026-04-08 00:00:00,72,1000000020,HKG,HKD,533,533,C,TRANSFER_P2P
1000000021,2026-04-08 00:00:00,73,9000000021,HKG,HKD,1765,1765,D,TRANSFER_P2P
9000000021,2026-04-08 00:00:00,74,1000000021,HKG,HKD,1765,1765,C,TRANSFER_P2P
1000000022,2026-04-08 00:00:00,75,9000000022,HKG,HKD,1395,1395,D,TRANSFER_P2P
9000000022,2026-04-08 00:00:00,76,1000000022,HKG,HKD,1395,1395,C,TRANSFER_P2P
1000000023,2026-04-08 00:00:00,77,9000000023,HKG,HKD,1588,1588,D,TRANSFER_P2P
9000000023,2026-04-08 00:00:00,78,1000000023,HKG,HKD,1588,1588,C,TRANSFER_P2P
1000000024,2026-04-08 00:00:00,79,9000000024,HKG,HKD,610,610,D,TRANSFER_P2P
9000000024,2026-04-08 00:00:00,80,1000000024,HKG,HKD,610,610,C,TRANSFER_P2P
1000000025,2026-04-08 00:00:00,81,9000000025,HKG,HKD,553,553,D,TRANSFER_P2P
9000000025,2026-04-08 00:00:00,82,1000000025,HKG,HKD,553,553,C,TRANSFER_P2P
1000000026,2026-04-08 00:00:00,83,9000000026,HKG,HKD,664,664,D,TRANSFER_P2P
9000000026,2026-04-08 00:00:00,84,1000000026,HKG,HKD,664,664,C,TRANSFER_P2P
1000000027,2026-04-08 00:00:00,85,9000000027,HKG,HKD,916,916,D,TRANSFER_P2P
9000000027,2026-04-08 00:00:00,86,1000000027,HKG,HKD,916,916,C,TRANSFER_P2P
1000000028,2026-04-08 00:00:00,87,9000000028,HKG,HKD,55,55,D,TRANSFER_P2P
9000000028,2026-04-08 00:00:00,88,1000000028,HKG,HKD,55,55,C,TRANSFER_P2P
1000000029,2026-04-08 00:00:00,89,9000000029,HKG,HKD,1897,1897,D,TRANSFER_P2P
9000000029,2026-04-08 00:00:00,90,1000000029,HKG,HKD,1897,1897,C,TRANSFER_P2P
1000000030,2026-04-08 00:00:00,91,9000000030,HKG,HKD,1967,1967,D,TRANSFER_P2P
9000000030,2026-04-08 00:00:00,92,1000000030,HKG,HKD,1967,1967,C,TRANSFER_P2P
1000000031,2026-04-08 00:00:00,93,9000000031,HKG,HKD,1155,1155,D,TRANSFER_P2P
9000000031,2026-04-08 00:00:00,94,1000000031,HKG,HKD,1155,1155,C,TRANSFER_P2P
1000000032,2026-04-08 00:00:00,95,9000000032,HKG,HKD,1953,1953,D,TRANSFER_P2P
9000000032,2026-04-08 00:00:00,96,1000000032,HKG,HKD,1953,1953,C,TRANSFER_P2P
1000000033,2026-04-08 00:00:00,97,9000000033,HKG,HKD,28,28,D,TRANSFER_P2P
9000000033,2026-04-08 00:00:00,98,1000000033,HKG,HKD,28,28,C,TRANSFER_P2P
1000000034,2026-04-08 00:00:00,99,9000000034,HKG,HKD,420,420,D,TRANSFER_P2P
9000000034,2026-04-08 00:00:00,100,1000000034,HKG,HKD,420,420,C,TRANSFER_P2P
1000000035,2026-04-08 00:00:00,101,9000000035,HKG,HKD,1375,1375,D,TRANSFER_P2P
9000000035,2026-04-08 00:00:00,102,1000000035,HKG,HKD,1375,1375,C,TRANSFER_P2P
1000000036,2026-04-08 00:00:00,103,9000000036,HKG,HKD,910,910,D,TRANSFER_P2P
9000000036,2026-04-08 00:00:00,104,1000000036,HKG,HKD,910,910,C,TRANSFER_P2P
1000000037,2026-04-08 00:00:00,105,9000000037,HKG,HKD,109,109,D,TRANSFER_P2P
9000000037,2026-04-08 00:00:00,106,1000000037,HKG,HKD,109,109,C,TRANSFER_P2P
1000000038,2026-04-08 00:00:00,107,9000000038,HKG,HKD,41,41,D,TRANSFER_P2P
9000000038,2026-04-08 00:00:00,108,1000000038,HKG,HKD,41,41,C,TRANSFER_P2P
1000000039,2026-04-08 00:00:00,109,9000000039,HKG,HKD,676,676,D,TRANSFER_P2P
9000000039,2026-04-08 00:00:00,110,1000000039,HKG,HKD,676,676,C,TRANSFER_P2P
1000000040,2026-04-08 00:00:00,111,9000000040,HKG,HKD,1587,1587,D,TRANSFER_P2P
9000000040,2026-04-08 00:00:00,112,1000000040,HKG,HKD,1587,1587,C,TRANSFER_P2P
1000000041,2026-04-08 00:00:00,113,9000000041,HKG,HKD,540,540,D,TRANSFER_P2P
9000000041,2026-04-08 00:00:00,114,1000000041,HKG,HKD,540,540,C,TRANSFER_P2P
1000000042,2026-04-08 00:00:00,115,9000000042,HKG,HKD,566,566,D,TRANSFER_P2P
9000000042,2026-04-08 00:00:00,116,1000000042,HKG,HKD,566,566,C,TRANSFER_P2P
1000000043,2026-04-08 00:00:00,117,9000000043,HKG,HKD,880,880,D,TRANSFER_P2P
9000000043,2026-04-08 00:00:00,118,1000000043,HKG,HKD,880,880,C,TRANSFER_P2P
1000000044,2026-04-08 00:00:00,119,9000000044,HKG,HKD,823,823,D,TRANSFER_P2P
9000000044,2026-04-08 00:00:00,120,1000000044,HKG,HKD,823,823,C,TRANSFER_P2P
1000000045,2026-04-08 00:00:00,121,9000000045,HKG,HKD,1673,1673,D,TRANSFER_P2P
9000000045,2026-04-08 00:00:00,122,1000000045,HKG,HKD,1673,1673,C,TRANSFER_P2P
1000000046,2026-04-08 00:00:00,123,9000000046,HKG,HKD,992,992,D,TRANSFER_P2P
9000000046,2026-04-08 00:00:00,124,1000000046,HKG,HKD,992,992,C,TRANSFER_P2P
1000000047,2026-04-08 00:00:00,125,9000000047,HKG,HKD,1544,1544,D,TRANSFER_P2P
9000000047,2026-04-08 00:00:00,126,1000000047,HKG,HKD,1544,1544,C,TRANSFER_P2P
1000000048,2026-04-08 00:00:00,127,9000000048,HKG,HKD,541,541,D,TRANSFER_P2P
9000000048,2026-04-08 00:00:00,128,1000000048,HKG,HKD,541,541,C,TRANSFER_P2P
1000000049,2026-04-08 00:00:00,129,9000000049,HKG,HKD,1880,1880,D,TRANSFER_P2P
9000000049,2026-04-08 00:00:00,130,1000000049,HKG,HKD,1880,1880,C,TRANSFER_P2P
